GeoFips,GeoName,2008,2009,2010,2011,2012
19500,"Decatur, IL (Metropolitan Statistical Area)",110588,110732,110752,110571,109978
,,,,,,
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",590912,589388,590699,591652,595348
,,,,,,
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",2463971,2509417,2553829,2599910,2646694
,,,,,,
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",553644,562601,571955,580779,589443
,,,,,,
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",4339504,4311728,4291400,4287556,4292832
,,,,,,
20020,"Dothan, AL (Metropolitan Statistical Area)",142958,144396,145876,146610,147552
,,,,,,
20100,"Dover, DE (Metropolitan Statistical Area)",157925,160081,162922,165189,167540
,,,,,,
20220,"Dubuque, IA (Metropolitan Statistical Area)",92519,92948,93887,94460,95062
,,,,,,
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",278561,279465,279772,279896,279579
,,,,,,
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",489919,499753,508111,516116,525431
,,,,,,
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",168576,169390,169939,169822,168436
,,,,,,
20740,"Eau Claire, WI (Metropolitan Statistical Area)",158700,160271,161390,162582,163508
,,,,,,
20940,"El Centro, CA (Metropolitan Statistical Area)",167917,172008,174750,175895,176768
,,,,,,
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",142988,143829,149897,151287,150460
,,,,,,
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",197762,197514,197450,198526,199258
,,,,,,
21300,"Elmira, NY (Metropolitan Statistical Area)",88503,88849,88940,88939,89147
,,,,,,
21340,"El Paso, TX (Metropolitan Statistical Area)",773304,790182,807041,821850,831939
,,,,,,
21500,"Erie, PA (Metropolitan Statistical Area)",278686,279838,280715,280921,280823
,,,,,,
21660,"Eugene, OR (Metropolitan Statistical Area)",348176,350850,351848,353495,354506
,,,,,,
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",308614,310170,311781,312605,313219
,,,,,,
21820,"Fairbanks, AK (Metropolitan Statistical Area)",94552,95238,98190,99276,100141
,,,,,,
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",201346,206223,209400,212695,216785
,,,,,,
22140,"Farmington, NM (Metropolitan Statistical Area)",126905,129359,130161,128016,128340
,,,,,,
22180,"Fayetteville, NC (Metropolitan Statistical Area)",355712,362658,367728,373291,373506
,,,,,,
22220,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",446592,455143,465674,474056,482727
,,,,,,
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",131853,133477,133929,134166,135862
,,,,,,
22420,"Flint, MI (Metropolitan Statistical Area)",433082,427989,424969,421750,417791
,,,,,,
22500,"Florence, SC (Metropolitan Statistical Area)",203805,204825,205718,205774,206117
,,,,,,
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",146675,146952,147229,147007,147106
,,,,,,
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",101122,101370,101649,101799,101715
,,,,,,
22660,"Fort Collins, CO (Metropolitan Statistical Area)",291650,296696,300482,305137,310686
,,,,,,
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",276322,278908,280682,280951,280626
,,,,,,
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",412062,414438,416831,419609,421526
,,,,,,
23420,"Fresno, CA (Metropolitan Statistical Area)",909630,921478,932719,940974,947581
,,,,,,
23460,"Gadsden, AL (Metropolitan Statistical Area)",104206,104239,104498,104323,104311
,,,,,,
23540,"Gainesville, FL (Metropolitan Statistical Area)",261685,263486,264665,266635,268660
,,,,,,
23580,"Gainesville, GA (Metropolitan Statistical Area)",177277,178503,180015,182888,185055
,,,,,,
23900,"Gettysburg, PA (Metropolitan Statistical Area)",101056,101252,101462,101611,101610
,,,,,,
24020,"Glens Falls, NY (Metropolitan Statistical Area)",129100,128771,128998,129072,128832
,,,,,,
24140,"Goldsboro, NC (Metropolitan Statistical Area)",119910,121217,122906,123884,124318
,,,,,,
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",98092,97941,98602,98108,98997
,,,,,,
24260,"Grand Island, NE (Metropolitan Statistical Area)",79947,81169,82030,82597,83372
,,,,,,
24300,"Grand Junction, CO (Metropolitan Statistical Area)",143155,147851,146464,147499,147790
,,,,,,
24340,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",984563,987281,989196,996006,1005493
,,,,,,
24420,"Grants Pass, OR (Metropolitan Statistical Area)",82389,82315,82838,82641,82813
,,,,,,
24500,"Great Falls, MT (Metropolitan Statistical Area)",80529,80680,81501,81758,81784
,,,,,,
24540,"Greeley, CO (Metropolitan Statistical Area)",243442,248193,254052,258343,263525
,,,,,,
24580,"Green Bay, WI (Metropolitan Statistical Area)",302468,304686,306723,308705,311007
,,,,,,
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",711405,718902,725137,730423,736182
,,,,,,
24780,"Greenville, NC (Metropolitan Statistical Area)",162116,165581,168826,170783,172971
,,,,,,
24860,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",808765,819279,825817,833216,842108
,,,,,,
25060,"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",363290,367577,371475,375719,379007
,,,,,,
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",248303,249783,252397,254536,256223
,,,,,,
25220,"Hammond, LA (Metropolitan Statistical Area)",118621,120009,121563,122681,123662
,,,,,,
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",152027,152278,152417,151994,151382
,,,,,,
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",542301,546874,550262,551923,554685
,,,,,,
25500,"Harrisonburg, VA (Metropolitan Statistical Area)",122361,124144,125410,126843,128520
,,,,,,
25540,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",1204436,1209604,1214014,1216079,1214503
,,,,,,
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",139305,141266,143323,145303,146759
,,,,,,
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",364003,365639,365334,364232,363729
,,,,,,
25940,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",180019,183971,187902,189577,193895
,,,,,,
25980,"Hinesville, GA (Metropolitan Statistical Area)",75379,80848,77329,80356,81631
,,,,,,
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",142122,141381,141288,139809,139320
,,,,,,
26300,"Hot Springs, AR (Metropolitan Statistical Area)",95636,95840,96194,96637,96889
,,,,,,
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",207056,207769,208225,208551,208678
,,,,,,
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",5676381,5826108,5948689,6054275,6175466
,,,,,,
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",363898,364731,365139,364915,364856
,,,,,,
26620,"Huntsville, AL (Metropolitan Statistical Area)",402361,412182,419431,425218,430146
,,,,,,
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",128353,131621,133800,134980,136301
,,,,,,
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",1850321,1873460,1892323,1910025,1929207
,,,,,,
26980,"Iowa City, IA (Metropolitan Statistical Area)",148799,151556,152941,155303,158370
,,,,,,
