GeoFips,GeoName,2001,2002,2003,2004,2005
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",143775,148833,154027,158181,162045
,,,,,,
20740,"Eau Claire, WI (Metropolitan Statistical Area)",149655,150846,151816,153419,154809
,,,,,,
20940,"El Centro, CA (Metropolitan Statistical Area)",143707,145640,148984,152259,156113
,,,,,,
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",135657,136591,136333,138230,140177
,,,,,,
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",184708,184543,187149,189316,192242
,,,,,,
21300,"Elmira, NY (Metropolitan Statistical Area)",90780,90613,90154,89777,88860
,,,,,,
21340,"El Paso, TX (Metropolitan Statistical Area)",692568,699844,708545,720997,731511
,,,,,,
21500,"Erie, PA (Metropolitan Statistical Area)",280647,280379,280153,277864,277211
,,,,,,
21660,"Eugene, OR (Metropolitan Statistical Area)",324855,327506,330845,332327,335831
,,,,,,
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",297027,298383,300628,302310,303844
,,,,,,
21820,"Fairbanks, AK (Metropolitan Statistical Area)",84814,86095,86885,89043,90431
,,,,,,
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",177033,178891,181539,186448,189303
,,,,,,
22140,"Farmington, NM (Metropolitan Statistical Area)",115745,119430,121553,123179,124809
,,,,,,
22180,"Fayetteville, NC (Metropolitan Statistical Area)",339038,341482,339823,345748,343493
,,,,,,
22220,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",358350,367634,379457,392694,407987
,,,,,,
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",118283,121308,122882,125117,127025
,,,,,,
22420,"Flint, MI (Metropolitan Statistical Area)",438584,440062,441689,442534,442508
,,,,,,
22500,"Florence, SC (Metropolitan Statistical Area)",194240,195590,197053,198010,199167
,,,,,,
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",142584,142163,142382,143112,143717
,,,,,,
